Date,万科A,万达院线,三一重工,上汽集团,上海电气,上海莱士,上港集团,东方明珠,东方航空,东方证券,东方财富,中信证券,中信银行,中兴通讯,中国中冶,中国中车,中国中铁,中国交建,中国人寿,中国国航,中国太保,中国平安,中国建筑,中国核电,中国电建,中国石化,中国石油,中国神华,中国联通,中国船舶,中国重工,中国铁建,中国铝业,中国银行,中海油服,中煤能源,中航动力,中航机载,中航资本,乐视网,云南白药,五粮液,交通银行,京东方A,伊利股份,保利地产,信威集团,光大证券,光大银行,兴业证券,兴业银行,农业银行,包钢股份,北京银行,北方稀土,华侨城A,华夏幸福,华夏银行,华泰证券,华能国际,双汇发展,国信证券,国投电力,国泰君安,国电电力,大秦铁路,宁波港,宝钢股份,工商银行,平安银行,广发证券,康美药业,建设银行,恒瑞医药,招商证券,招商银行,新华保险,方正证券,格力电器,比亚迪,民生银行,江苏有线,洋河股份,浙能电力,浦发银行,海天味业,海康威视,海澜之家,海螺水泥,海通证券,申万宏源,美的集团,苏宁云商,贵州茅台,长城汽车,长安汽车,长江电力,陕西煤业,青岛海尔
2014-01-02,5.1392,,5.5468,8.5926,3.4380,6.3320,4.0466,23.2290,2.6954,,0.9199,9.7880,2.5206,10.2318,1.4290,4.0297,2.1689,3.1986,12.8445,3.6525,13.5043,15.6374,1.5721,,2.5323,2.4596,5.6586,7.9126,2.8073,23.7438,5.5055,3.7596,3.3553,1.5089,20.0545,3.9887,18.3760,22.9439,3.5208,9.2712,40.3865,12.6839,2.1751,1.8891,9.9342,3.7326,20.4794,7.6618,1.5898,3.6256,6.4850,1.4142,1.6650,2.2941,14.1057,4.1202,6.4543,3.9621,7.1644,3.7259,18.1182,,3.0098,,1.7639,4.0559,2.0009,2.5454,2.1040,6.0632,9.7379,7.9412,2.4328,8.0094,8.3582,7.3925,18.8172,5.7546,9.7247,36.7543,3.6096,,23.3938,3.7136,4.4275,,8.2999,4.5433,11.5086,9.2371,,9.6441,8.6609,89.2903,11.0955,5.1189,4.3647,,7.9162
2014-01-03,5.1263,,5.4863,8.3548,3.4380,6.4804,4.0082,23.3426,2.6471,,0.9199,9.7027,2.5075,10.7551,1.4209,3.9579,2.1527,3.1747,12.6571,3.6247,13.1180,15.3027,1.5671,,2.5240,2.4431,5.5998,7.7923,2.8160,23.7339,5.5055,3.7195,3.3356,1.4974,18.8432,3.9055,18.4241,22.4347,3.5250,10.5458,41.3133,12.5448,2.1694,1.8627,9.4337,3.7053,20.4794,7.6176,1.5778,3.5949,6.3820,1.4028,1.8301,2.2726,14.8247,4.0888,6.4512,3.8411,7.0443,3.7184,17.7901,,3.0329,,1.7564,4.0394,2.0009,2.5078,2.0981,6.0782,9.6359,8.1968,2.4092,8.2350,8.2783,7.2630,18.5770,5.7546,9.4409,36.9689,3.6143,,23.0273,3.7301,4.3525,,8.5581,4.4855,11.0934,9.1142,,9.4488,8.7571,87.3788,11.5883,5.2396,4.3301,,7.8549
2014-01-06,5.0299,,5.4344,8.1413,3.3633,6.4804,3.9086,23.3489,2.6084,,0.9380,9.4698,2.4879,10.9347,1.4045,3.8701,2.0880,3.1430,12.3590,3.5876,12.8557,15.1072,1.5419,,2.4991,2.4045,5.5925,7.6821,2.7636,23.0513,5.4171,3.6070,3.3553,1.4801,18.2599,3.8888,18.0014,22.1561,3.4380,10.5004,40.3310,12.3893,2.1580,1.8627,9.5055,3.6825,20.4794,7.5381,1.5659,3.5180,6.2791,1.4028,1.8793,2.2449,14.5066,4.0340,6.2626,3.7713,6.8842,3.6814,17.6434,,3.0329,,1.7264,4.1878,2.0173,2.5078,2.0922,5.9481,9.4947,8.0161,2.3974,8.1106,7.9919,7.1607,18.2788,5.7546,9.2616,37.4078,3.5814,,22.6213,3.6806,4.3665,,8.6319,4.4470,10.6578,8.7867,,9.3473,8.9400,85.7254,11.3379,5.1636,4.2816,,7.5938
2014-01-07,4.7790,,5.2353,7.9218,3.2792,6.4804,3.6404,24.1062,2.5022,,0.8674,9.3534,2.4289,10.5364,1.3637,3.7424,2.0071,3.0398,12.4527,3.5228,12.3893,14.9004,1.5269,,2.3829,2.4431,5.6879,7.3915,2.6936,22.0619,5.0828,3.4624,3.1974,1.4455,18.3766,3.7389,17.1465,21.5123,3.2930,10.1625,39.4122,11.8738,2.1238,1.8364,9.3695,3.4774,20.4794,7.3790,1.5359,3.4912,6.1826,1.3800,1.7142,2.1987,14.3729,3.8539,5.8473,3.6409,6.9242,3.4962,16.9139,,2.9636,,1.6889,4.0449,1.9517,2.4203,2.0746,5.7680,9.2593,7.6679,2.3856,7.7796,7.8254,7.0447,17.9724,5.7546,8.9031,36.9689,3.4449,,22.3901,3.7026,4.3009,,8.3368,4.3379,10.0930,8.7703,,9.0194,8.7956,83.7929,10.8396,4.8954,4.1569,,7.4591
2014-01-08,4.7919,,5.2353,8.0315,3.2979,6.4804,3.9086,25.6838,2.5312,,0.8801,9.3999,2.4486,10.4192,1.3719,3.7105,2.0233,3.0795,12.5549,3.5413,12.5350,15.1110,1.5269,,2.3829,2.4320,5.6659,7.4416,2.7111,22.3587,5.0828,3.4222,3.2270,1.4455,19.0855,3.7639,17.2906,22.3963,3.3116,10.6637,39.5191,11.9720,2.1466,1.8452,9.6519,3.4637,20.4794,7.4409,1.5419,3.5065,6.2019,1.3800,1.6580,2.2141,13.9848,3.8930,5.8632,3.6642,6.9482,3.5184,17.4273,,2.9790,,1.6964,4.0009,1.9845,2.4453,2.0805,5.8231,9.4005,7.7693,2.3679,8.2750,7.8920,7.1743,18.0800,5.7546,8.9659,37.5541,3.4355,,22.4409,3.6586,4.2868,,8.3220,4.4406,10.3107,8.8440,,9.0701,8.8630,84.0580,10.9070,4.8954,4.1638,,7.4673
2014-01-09,4.7790,,5.2007,8.1108,3.2885,6.4804,3.7400,26.9522,2.4925,,0.9362,9.3146,2.4289,10.4270,1.3392,3.5988,1.9747,3.0636,12.4441,3.5228,12.4913,15.2275,1.5168,,2.3497,2.4265,5.5852,7.2962,2.6674,22.2103,5.0926,3.3901,3.1777,1.4455,20.5480,3.7389,17.5595,22.6557,3.3551,11.4960,39.4399,11.7920,2.1523,1.8452,9.9342,3.4637,20.4794,7.3437,1.5359,3.5296,6.2340,1.3800,1.6053,2.2172,13.9339,3.8539,5.8473,3.7154,6.9242,3.5110,17.4003,,3.0252,,1.7039,4.0064,1.9435,2.3765,2.0922,5.8481,9.3613,7.5930,2.3443,8.1380,7.8987,7.2357,18.1049,5.7546,8.9659,38.4515,3.4402,,21.5782,3.6751,4.3150,,8.1154,4.4855,10.2631,8.8194,,9.0701,8.9496,83.0185,10.9474,4.7434,4.1499,,7.5897
2014-01-10,4.7726,,5.1488,7.9889,3.2792,6.5158,3.8243,26.1886,2.5022,,0.9199,9.1438,2.4355,10.4348,1.3311,3.6786,1.9747,3.0478,12.1631,3.4764,12.3747,15.0245,1.5118,,2.3331,2.4210,5.5705,7.2361,2.6324,21.7553,5.0140,3.3981,3.1086,1.4398,19.4713,3.6890,17.1849,21.9159,3.1687,10.8587,39.5310,11.9474,2.1523,1.8627,9.4722,3.4774,20.4794,7.1581,1.5239,3.4643,6.2598,1.3743,1.5596,2.2080,13.6858,3.7990,5.9048,3.7061,6.8282,3.5110,17.5662,,2.9867,,1.6964,3.9624,1.9271,2.3765,2.0746,5.8931,9.1730,7.3815,2.3325,8.1801,7.7322,7.2902,17.9558,5.7546,8.7836,37.7492,3.4308,,21.8263,3.5706,4.3525,,7.8941,4.5240,10.2631,8.5001,,9.0701,9.0266,83.0255,10.5030,4.6987,4.0737,,7.3245
2014-01-13,4.7533,,4.9930,7.9218,3.2512,6.5512,3.8473,25.3809,2.4152,,0.8940,8.9264,2.4486,10.2318,1.3147,3.6068,1.9180,3.0319,12.2056,3.4671,12.4986,14.9380,1.5018,,2.3248,2.4431,5.5338,7.2612,2.6236,20.6769,4.9353,3.3098,3.2961,1.4398,19.4982,3.7056,16.7142,22.8575,3.1087,10.9313,38.7904,12.0702,2.1694,1.8452,10.0369,3.4911,21.4679,6.9637,1.5299,3.4643,6.2791,1.3686,1.5104,2.2080,13.7049,3.8069,5.6587,3.7992,6.7881,3.5999,17.7168,,3.0867,,1.6814,3.9954,1.8943,2.3703,2.0805,5.9031,9.0239,7.2669,2.3443,7.9567,7.4391,7.3789,18.0138,6.0759,8.8015,36.1495,3.4496,,21.9898,3.5266,4.4275,,7.7650,4.3893,10.3107,8.3117,,8.9803,8.8630,83.2278,10.6996,4.7836,4.1361,,7.4061
2014-01-14,4.6182,,5.0190,7.9828,3.3072,6.4205,3.7783,25.2421,2.4249,,0.8915,8.8721,2.4617,9.7475,1.3229,3.6068,1.9261,3.0478,12.0779,3.4486,12.3820,14.8516,1.4867,,2.3248,2.4596,5.5191,7.3013,2.6324,20.7758,4.9353,3.3339,3.3750,1.4455,18.5740,3.7306,16.7142,21.9928,3.1791,11.1241,38.9448,12.2257,2.1751,1.8100,9.8701,3.4090,20.4294,6.9283,1.5299,3.4451,6.2469,1.3743,1.5139,2.2049,13.8130,3.6815,5.5277,3.8225,6.8041,3.6073,17.9484,,3.1406,,1.6964,3.9350,1.8861,2.4078,2.0746,5.7880,8.9376,7.1259,2.3679,7.8006,7.4258,7.3994,17.8978,5.8715,8.4699,37.0567,3.4355,,22.4634,3.3505,4.4088,,7.7834,4.4599,10.4128,8.3281,,9.0779,8.7667,83.8557,9.9644,4.8954,4.1291,,7.3857
2014-01-15,4.6375,,5.0449,7.9584,3.3446,6.6002,3.8090,26.2139,2.4442,,0.9392,8.9808,2.4420,9.7397,1.3392,3.6387,1.9423,3.0557,12.1120,3.4671,12.5059,15.0132,1.4867,,2.3663,2.5258,5.5925,7.3263,2.6586,21.5970,4.8862,3.3419,3.2566,1.4455,19.0137,3.7556,17.0985,22.1849,3.1874,11.2261,38.8181,12.4957,2.1580,1.8452,9.9111,3.4318,18.7719,6.9814,1.5359,3.5027,6.2791,1.3743,1.5139,2.2080,13.8130,3.6737,5.5277,3.8178,6.8842,3.6221,18.0642,,3.1483,,1.7039,3.8690,1.9107,2.4453,2.0628,5.8531,9.0239,7.0951,2.3620,7.7669,7.5324,7.3107,18.1380,5.5501,8.7358,37.4566,3.4449,,22.6495,3.3835,4.4041,,7.9531,4.4920,10.6851,8.4346,,9.3122,9.0073,84.0720,10.2256,4.9177,4.1569,,7.8345
