Date,stock,oil,bond,dollar,gold
2018-01-01,,,,92.24,
2018-01-02,2695.81,42.4,121.859375,91.852,1317.56
2018-01-03,2713.06,43.31,121.96875,92.203,1313.21
2018-01-04,2723.99,43.36,121.828125,91.865,1323.01
2018-01-05,2743.15,43.19,121.65625,92.013,1319.59
2018-01-08,2747.71,43.27,121.65625,92.345,1320.4
2018-01-09,2751.29,44.06,121.1875,92.513,1312.85
2018-01-10,2748.23,44.03,121.15625,92.359,1316.89
2018-01-11,2767.56,44.03,121.203125,91.889,1322.44
2018-01-12,2786.24,44.48,121.140625,90.902,1337.64
2018-01-15,,44.74,,90.447,1339.99
2018-01-16,2776.42,44.17,121.1875,90.473,1338.41
2018-01-17,2802.56,44.25,120.734375,90.987,1326.84
2018-01-18,2798.03,44.05,120.546875,90.48,1327.03
2018-01-19,2810.3,43.74,120.328125,90.672,1331.84
2018-01-22,2832.97,44.12,120.390625,90.387,1333.92
2018-01-23,2839.13,44.5,120.6875,90.099,1341.21
2018-01-24,2837.54,45.08,120.453125,89.242,1358.46
2018-01-25,2839.25,44.62,120.640625,89.476,1348.26
2018-01-26,2872.87,44.78,120.265625,89.019,1349.12
2018-01-29,2853.53,44.22,120.046875,89.356,1340.33
2018-01-30,2822.43,43.71,119.84375,89.177,1338.59
2018-01-31,2823.81,44.0,119.890625,89.124,1345.14
2018-02-01,2821.98,44.58,119.3125,88.652,1348.79
2018-02-02,2762.13,43.59,119.03125,89.194,1333.39
2018-02-05,2648.94,42.74,120.171875,89.637,1339.67
2018-02-06,2695.14,42.94,119.4375,89.671,1324.16
2018-02-07,2681.66,41.75,119.28125,90.351,1318.39
2018-02-08,2581.0,41.08,119.328125,90.287,1318.76
2018-02-09,2619.55,40.06,119.1875,90.324,1316.65
2018-02-12,2656.0,40.03,119.0625,90.112,1322.7
2018-02-13,2662.94,40.0,119.265625,89.74,1329.55
2018-02-14,2698.63,41.11,118.609375,89.003,1350.73
2018-02-15,2731.2,41.22,118.546875,88.627,1353.67
2018-02-16,2732.22,41.46,118.78125,89.076,1346.96
2018-02-19,,41.92,,89.203,1346.46
2018-02-20,2716.26,41.59,118.71875,89.721,1329.19
2018-02-21,2701.33,41.57,118.359375,90.124,1324.63
2018-02-22,2703.96,42.28,118.578125,89.712,1332.05
2018-02-23,2747.3,42.86,118.96875,89.884,1328.71
2018-02-26,2779.6,43.14,118.984375,89.868,1333.68
2018-02-27,2744.28,42.42,118.671875,90.367,1318.36
2018-02-28,2713.83,42.01,118.921875,90.657,1318.31
2018-03-01,2677.67,41.65,119.390625,90.238,1317.03
2018-03-02,2691.25,41.88,118.96875,89.977,1322.75
2018-03-05,2720.94,42.53,118.8125,90.004,1320.11
2018-03-06,2728.12,42.51,118.78125,89.435,1334.56
2018-03-07,2726.8,41.9,118.828125,89.594,1325.57
2018-03-08,2738.97,41.44,119.046875,90.123,1321.99
2018-03-09,2786.57,42.49,118.828125,90.103,1323.93
2018-03-12,2783.02,42.14,118.984375,89.926,1323.1
2018-03-13,2765.31,41.99,119.171875,89.686,1326.51
2018-03-14,2749.48,42.1,119.359375,89.783,1324.85
2018-03-15,2747.33,42.18,119.265625,90.128,1316.1
2018-03-16,2752.01,42.81,119.171875,90.186,1314.24
2018-03-19,2712.92,42.88,119.078125,89.927,1316.85
2018-03-20,2716.94,43.85,118.78125,90.421,1311.31
2018-03-21,2711.93,45.3,118.953125,89.704,1332.24
2018-03-22,2643.69,44.66,119.375,89.815,1329.03
2018-03-23,2588.26,45.65,119.484375,89.484,1347.33
2018-03-26,2658.55,45.48,119.203125,89.076,1353.5
2018-03-27,2612.62,45.12,119.796875,89.329,1345.05
2018-03-28,2605.0,45.29,119.671875,90.078,1325.01
2018-03-29,2640.87,45.56,119.84375,90.091,1325.5
2018-03-30,,,,89.974,1325.48
2018-04-02,2581.88,44.39,120.03125,90.024,1341.29
2018-04-03,2614.45,44.79,119.703125,90.187,1332.74
2018-04-04,2644.69,44.85,119.515625,90.124,1333.19
2018-04-05,2662.84,45.0,119.375,90.446,1326.57
2018-04-06,2604.47,43.97,119.828125,90.072,1333.03
2018-04-09,2613.16,45.06,119.75,89.829,1336.35
2018-04-10,2656.87,46.67,119.578125,89.624,1339.64
2018-04-11,2642.19,47.26,119.703125,89.518,1353.38
2018-04-12,2663.99,47.43,119.265625,89.767,1334.94
2018-04-13,2656.3,47.7,119.3125,89.77,1346.2
2018-04-16,2677.84,47.01,119.28125,89.429,1345.93
2018-04-17,2706.39,47.1,119.265625,89.483,1347.52
2018-04-18,2708.64,48.47,118.9375,89.605,1349.41
2018-04-19,2693.13,48.35,118.671875,89.901,1345.53
2018-04-20,2670.14,48.42,118.296875,90.264,1336.36
2018-04-23,2670.29,49.28,118.140625,90.927,1324.83
2018-04-24,2634.56,48.52,118.015625,90.795,1330.35
2018-04-25,2639.4,48.65,117.859375,91.254,1323.13
2018-04-26,2666.94,49.1,118.1875,91.581,1316.8
2018-04-27,2669.91,48.9,118.328125,91.529,1324.0
2018-04-30,2648.05,49.37,118.328125,91.821,1315.39
2018-05-01,2654.8,48.5,118.265625,92.459,1303.85
2018-05-02,2635.67,48.3,118.328125,92.711,1304.96
2018-05-03,2629.73,48.7,118.5,92.436,1312.06
2018-05-04,2663.42,49.57,118.46875,92.571,1314.5
2018-05-07,2672.63,49.94,118.484375,92.768,1314.21
2018-05-08,2671.92,50.2,118.265625,93.084,1314.63
2018-05-09,2697.79,51.14,118.046875,93.123,1312.72
2018-05-10,2723.07,51.24,118.234375,92.719,1321.6
2018-05-11,2727.72,51.01,118.203125,92.554,1319.3
2018-05-14,2730.13,51.9,117.984375,92.671,1313.5
2018-05-15,2711.45,51.64,117.484375,93.283,1290.53
2018-05-16,2722.46,52.43,117.328125,93.324,1290.73
2018-05-17,2720.13,52.59,117.296875,93.471,1290.79
2018-05-18,2712.97,52.02,117.71875,93.664,1293.04
2018-05-21,2733.01,52.49,117.71875,93.537,1292.6
2018-05-22,2724.44,52.51,117.71875,93.596,1291.14
2018-05-23,2733.29,52.68,118.234375,93.951,1293.41
2018-05-24,2727.76,52.1,118.3125,93.775,1304.63
2018-05-25,2721.33,50.45,118.8125,94.253,1302.25
2018-05-28,,49.78,,94.418,1299.04
2018-05-29,2689.86,49.86,119.9375,94.82,1298.77
2018-05-30,2724.01,51.21,119.3125,94.069,1301.38
2018-05-31,2705.27,51.28,119.296875,93.979,1298.51
2018-06-01,2734.62,50.69,118.890625,94.156,1293.4
2018-06-04,2746.87,49.8,118.5625,94.038,1292.02
2018-06-05,2748.8,49.53,118.75,93.876,1296.4
2018-06-06,2772.35,50.13,118.421875,93.614,1296.4
2018-06-07,2770.37,51.17,118.796875,93.435,1297.18
2018-06-08,2779.03,50.44,118.625,93.535,1298.17
2018-06-11,2782.0,50.46,118.578125,93.608,1300.49
2018-06-12,2786.85,49.84,118.515625,93.818,1295.97
2018-06-13,2775.63,50.59,118.390625,93.544,1299.31
2018-06-14,2782.49,50.15,118.59375,94.879,1302.25
2018-06-15,2779.66,48.24,118.71875,94.788,1278.94
2018-06-18,2773.75,49.86,118.765625,94.756,1278.32
2018-06-19,2762.59,49.6,118.9375,95.013,1274.66
2018-06-20,2767.32,49.1,118.640625,95.124,1267.86
2018-06-21,2749.76,48.5,118.96875,94.862,1267.19
2018-06-22,2754.88,49.91,119.0,94.52,1270.56
2018-06-25,2717.07,49.39,119.078125,94.289,1265.64
2018-06-26,2723.06,50.6,119.125,94.676,1259.04
2018-06-27,2699.63,51.06,119.515625,95.29,1252.35
